type,release_year,rating,listed_in,content_age,added_year,added_month,movie_duration_minutes,season_count,genre_count,cast_count,primary_country
Movie,2020,PG-13,Documentaries,6,2021,9,90.0,,1,1,United States
TV Show,2021,TV-MA,"International TV Shows, TV Dramas, TV Mysteries",5,2021,9,,2.0,3,19,South Africa
TV Show,2021,TV-MA,"Crime TV Shows, International TV Shows, TV Action & Adventure",5,2021,9,,1.0,3,9,Unknown
TV Show,2021,TV-MA,"Docuseries, Reality TV",5,2021,9,,1.0,2,1,Unknown
TV Show,2021,TV-MA,"International TV Shows, Romantic TV Shows, TV Comedies",5,2021,9,,2.0,3,8,India
TV Show,2021,TV-MA,"TV Dramas, TV Horror, TV Mysteries",5,2021,9,,1.0,3,16,Unknown
Movie,2021,PG,Children & Family Movies,5,2021,9,91.0,,1,10,Unknown
Movie,1993,TV-MA,"Dramas, Independent Movies, International Movies",33,2021,9,125.0,,3,8,United States
TV Show,2021,TV-14,"British TV Shows, Reality TV",5,2021,9,,9.0,2,4,United Kingdom
Movie,2021,PG-13,"Comedies, Dramas",5,2021,9,104.0,,2,11,United States
TV Show,2021,TV-MA,"Crime TV Shows, Docuseries, International TV Shows",5,2021,9,,1.0,3,1,Unknown
TV Show,2021,TV-MA,"Crime TV Shows, International TV Shows, TV Action & Adventure",5,2021,9,,1.0,3,25,Unknown
Movie,2021,TV-MA,"Dramas, International Movies",5,2021,9,127.0,,2,11,Germany
Movie,2021,TV-PG,"Children & Family Movies, Comedies",5,2021,9,91.0,,2,10,Unknown
TV Show,2021,TV-MA,"British TV Shows, Crime TV Shows, Docuseries",5,2021,9,,1.0,3,1,Unknown
TV Show,2021,TV-MA,"TV Comedies, TV Dramas",5,2021,9,,4.0,2,8,United States
Movie,2020,TV-MA,"Documentaries, International Movies",6,2021,9,67.0,,2,1,Unknown
TV Show,2020,TV-MA,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas",6,2021,9,,2.0,3,12,Mexico
Movie,2021,TV-14,Thrillers,5,2021,9,94.0,,1,10,Unknown
TV Show,2021,TV-MA,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",5,2021,9,,1.0,3,8,Unknown
TV Show,2021,TV-14,"Crime TV Shows, Docuseries, International TV Shows",5,2021,9,,1.0,3,1,Unknown
TV Show,2018,TV-14,"International TV Shows, TV Action & Adventure, TV Dramas",8,2021,9,,5.0,3,10,Turkey
Movie,1996,TV-PG,"Comedies, International Movies",30,2021,9,161.0,,2,6,Unknown
Movie,2021,TV-Y,Children & Family Movies,5,2021,9,61.0,,1,4,Unknown
Movie,1998,TV-14,"Comedies, International Movies, Romantic Movies",28,2021,9,166.0,,3,4,India
TV Show,2021,TV-14,"Docuseries, International TV Shows, Reality TV",5,2021,9,,2.0,3,1,Australia
Movie,1997,TV-PG,"Comedies, International Movies, Music & Musicals",29,2021,9,147.0,,3,6,Unknown
Movie,2010,PG-13,Comedies,16,2021,9,103.0,,1,11,United States
Movie,2013,PG-13,"Horror Movies, Sci-Fi & Fantasy",13,2021,9,97.0,,2,10,United States
Movie,2013,PG-13,Thrillers,13,2021,9,106.0,,1,10,United States
Movie,2021,TV-14,"Dramas, Independent Movies, International Movies",5,2021,9,111.0,,3,7,Unknown
TV Show,2021,TV-MA,TV Comedies,5,2021,9,,1.0,1,11,Unknown
TV Show,2020,TV-MA,"British TV Shows, International TV Shows, TV Comedies",6,2021,9,,3.0,3,7,United Kingdom
TV Show,2021,TV-MA,"International TV Shows, TV Dramas, TV Thrillers",5,2021,9,,1.0,3,10,Unknown
TV Show,2020,TV-Y7,Kids' TV,6,2021,9,,1.0,1,5,Unknown
Movie,2021,TV-MA,"Dramas, International Movies, Thrillers",5,2021,9,110.0,,3,10,Unknown
Movie,2021,TV-MA,"Action & Adventure, Dramas, International Movies",5,2021,9,105.0,,3,10,Unknown
TV Show,2018,TV-Y7,"Kids' TV, TV Comedies",8,2021,9,,1.0,2,5,Finland
Movie,2017,PG-13,"Action & Adventure, Dramas",9,2021,9,96.0,,2,9,China
TV Show,2021,TV-Y7,Kids' TV,5,2021,9,,3.0,1,7,India
TV Show,2021,TV-Y7,"Kids' TV, TV Sci-Fi & Fantasy",5,2021,9,,1.0,2,11,United States
Movie,1975,PG,"Action & Adventure, Classic Movies, Dramas",51,2021,9,124.0,,3,10,United States
Movie,1978,PG,"Dramas, Horror Movies, Thrillers",48,2021,9,116.0,,3,10,United States
Movie,1983,PG,"Action & Adventure, Horror Movies, Thrillers",43,2021,9,98.0,,3,10,United States
Movie,1987,PG-13,"Action & Adventure, Horror Movies, Thrillers",39,2021,9,91.0,,3,8,United States
Movie,2021,PG,Documentaries,5,2021,9,23.0,,1,1,Unknown
Movie,2012,R,Action & Adventure,14,2021,9,115.0,,1,10,South Africa
TV Show,2020,TV-MA,"International TV Shows, Romantic TV Shows, TV Comedies",6,2021,9,,1.0,3,10,Unknown
Movie,2001,R,"Dramas, Thrillers",25,2021,9,122.0,,2,11,United States
TV Show,2021,TV-MA,"International TV Shows, TV Dramas",5,2021,9,,2.0,2,14,Nigeria
TV Show,2014,TV-PG,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",12,2021,9,,1.0,3,9,India
Movie,2002,TV-14,"Action & Adventure, Anime Features, International Movies",24,2021,9,99.0,,3,10,Japan
Movie,2003,TV-14,"Action & Adventure, Anime Features, International Movies",23,2021,9,99.0,,3,8,Japan
Movie,2004,TV-PG,"Action & Adventure, Anime Features, International Movies",22,2021,9,88.0,,3,10,Japan
Movie,2001,TV-PG,"Action & Adventure, Anime Features, International Movies",25,2021,9,100.0,,3,10,Japan
TV Show,2021,TV-PG,Reality TV,5,2021,9,,6.0,1,2,United States
Movie,2011,TV-14,"Action & Adventure, Anime Features, International Movies",15,2021,9,102.0,,3,10,Japan
Movie,2008,TV-PG,"Action & Adventure, Anime Features, International Movies",18,2021,9,93.0,,3,11,Japan
Movie,2009,TV-PG,"Action & Adventure, Anime Features, International Movies",17,2021,9,96.0,,3,13,Japan
Movie,2007,TV-PG,"Action & Adventure, Anime Features, International Movies",19,2021,9,95.0,,3,21,Japan
Movie,2010,TV-14,"Action & Adventure, Anime Features, International Movies",16,2021,9,85.0,,3,14,Japan
Movie,2005,TV-PG,"Action & Adventure, Anime Features, International Movies",21,2021,9,97.0,,3,10,Japan
Movie,2006,TV-PG,"Action & Adventure, Anime Features, International Movies",20,2021,9,95.0,,3,10,Japan
Movie,2004,TV-PG,"Action & Adventure, Anime Features, International Movies",22,2021,9,83.0,,3,10,Japan
